SESSION,DATE,landmarkid,utme,utmn,clan
S12233,3/23/2013,Holy Grail Den (HZ),0,0,happy zebra
S12233,3/23/2013,Holy Grail Den (HZ),0,0,happy zebra
S12234,3/23/2013,9km Marker (HZ),717792,9841943,happy zebra
S12235,3/23/2013,,716954,9841577,happy zebra
S12236,3/23/2013,Knot Tree (North),0,0,happy zebra
S12237,3/24/2013,Holy Grail Den (HZ),0,0,happy zebra
S12238,3/26/2013,Holy Grail Den (HZ),0,0,happy zebra
S12239,4/2/2013,Holy Grail Den (HZ),0,0,happy zebra
S12241,4/8/2013,Holy Grail Den (HZ),0,0,happy zebra
S12240,4/8/2013,9km Marker (HZ),718079,9842227,happy zebra
S12242,4/23/2013,Holy Grail Den (HZ),0,0,happy zebra
S12242,4/23/2013,Holy Grail Den (HZ),718956,9840008,happy zebra
S12242,4/23/2013,Holy Grail Den (HZ),0,0,happy zebra
S12243,4/25/2013,Holy Grail Den (HZ),0,0,happy zebra
S12244,4/25/2013,Comatose Culvert (HZ),717784,9841705,happy zebra
S12245,4/26/2013,Holy Grail Den (HZ),0,0,happy zebra
S12246,4/26/2013,Comatose Culvert (HZ),718366,9841306,happy zebra
S12247,5/5/2013,Holy Grail Den (HZ),0,0,happy zebra
S12248,5/7/2013,Holy Grail Den (HZ),0,0,happy zebra
S12249,5/10/2013,Holy Grail Den (HZ),0,0,happy zebra
S12250,5/10/2013,Holy Grail Den (HZ),0,0,happy zebra
S12251,5/12/2013,Comatose Culvert (HZ),718172,9840721,happy zebra
S12252,5/12/2013,Egyptian Goose (HZ),718313,9840318,happy zebra
S12253,5/12/2013,Holy Grail Den (HZ),0,0,happy zebra
S12254,5/13/2013,Holy Grail Den (HZ),0,0,happy zebra
S12255,5/13/2013,Holy Grail Den (HZ),0,0,happy zebra
S12256,5/14/2013,9km Marker (HZ),0,0,happy zebra
S12256,5/14/2013,Comatose Culvert (HZ),0,0,happy zebra
S12257,5/14/2013,Holy Grail Den (HZ),0,0,happy zebra
S12258,5/16/2013,Comatose Culvert (HZ),718479,9841017,happy zebra
S12259,5/16/2013,Holy Grail Den (HZ),0,0,happy zebra
S12260,5/17/2013,Holy Grail Den (HZ),0,0,happy zebra
