Easting,Northing,Clan,Count,Date,Year,Month,Day,Time
744662,9839744,TW,2,1/12/2013,2013,1,12,7:56
749138,9837259,TW,2,1/12/2013,2013,1,12,17:02
727019,9841472,SS,1,1/12/2013,2013,1,12,17:44
748783,9834960,TW,1,1/13/2013,2013,1,13,19:02
722816,9846668,SN,1,1/13/2013,2013,1,13,7:06
721834,9847328,SN ,2,1/13/2013,2013,1,13,8:34
745485,9838624,TW,5,1/14/2013,2013,1,14,17:42
748967,9837080,TW,2,1/14/2013,2013,1,14,18:42
745134,9839164,TW,1,1/15/2013,2013,1,15,5:23
733531,9841992,MR,3,1/15/2013,2013,1,15,7:09
746840,9837425,TW,2,1/16/2013,2013,1,16,17:50
746269,9838353,TW,2,1/16/2013,2013,1,16,18:14
727384,9844076,SS,3,1/16/2013,2013,1,16,8:14
721032,9846873,SN,2,1/17/2013,2013,1,17,8:47
746208,9838996,TW,4,1/18/2013,2013,1,18,6:25
745178,9839118,TW,2,1/19/2013,2013,1,19,6:56
747797,9836633,TW,3,1/20/2013,2013,1,20,17:23
744572,9839925,TW,1,1/20/2013,2013,1,20,18:25
746175,9838690,TW,4,1/20/2013,2013,1,20,18:55
744233,9838810,TW,2,1/21/2013,2013,1,21,7:13
745218,9839364,TW,2,1/21/2013,2013,1,21,18:05
751530,9837604,TW,1,1/21/2013,2013,1,21,20:28
724516,9845633,SN,1,1/22/2013,2013,1,22,17:05
744412,9839322,TW,2,1/24/2013,2013,1,24,8:06
744163,9839819,TW,2,1/25/2013,2013,1,25,17:57
745757,9839525,TW,2,1/26/2013,2013,1,26,6:45
744889,9839801,TW,2,1/26/2013,2013,1,26,6:55
743521,9838480,TW,1,1/26/2013,2013,1,26,7:19
745310,9838783,TW,2,1/26/2013,2013,1,26,18:31
746269,9838353,TW,1,1/27/2013,2013,1,27,19:44
746713,9836969,TW,5,1/28/2013,2013,1,28,7:27
747665,9836574,TW,4,1/28/2013,2013,1,28,17:32
744721,9835589,TW,1,1/28/2013,2013,1,28,17:52
733605,9842058,MR,3,1/29/2013,2013,1,29,6:13
731087,9840672,MR,2,1/29/2013,2013,1,29,6:38
