"","year","month","UTME","UTMN"
"795",2012,7,721152,9849268
"796",2012,7,721208,9850160
"797",2012,7,721208,9850160
"798",2012,7,722610,9850340
"799",2012,7,720175,9851218
"800",2012,7,720175,9851218
"801",2012,7,720175,9851218
"802",2012,7,720175,9851218
"803",2012,7,720175,9851218
"804",2012,7,720175,9851218
"805",2012,7,720175,9851218
"806",2012,7,720175,9851218
"807",2012,7,720175,9851218
"808",2012,7,720175,9851218
"809",2012,7,720175,9851218
"810",2012,7,720175,9851218
"811",2012,7,720175,9851218
"812",2012,7,720175,9851218
"813",2012,7,720175,9851218
"814",2012,7,720175,9851218
"815",2012,7,720175,9851218
"816",2012,7,720175,9851218
"817",2012,7,720175,9851218
"818",2012,7,719925,9851130
"819",2012,7,719983,9851098
"820",2012,7,720043,9851218
"821",2012,7,720163,9851038
"822",2012,7,720201,9851102
"823",2012,7,720242,9851576
"824",2012,7,720324,9851312
"825",2012,7,720751,9851603
"826",2012,7,720751,9851603
"827",2012,7,720751,9851603
"828",2012,7,720751,9851603
"829",2012,7,720751,9851603
"830",2012,7,720751,9851603
"831",2012,7,720751,9851603
"832",2012,7,720751,9851603
"833",2012,7,720751,9851603
"834",2012,7,720751,9851603
"835",2012,7,720751,9851603
"836",2012,7,720751,9851603
"837",2012,7,720751,9851603
"838",2012,7,720153,9851026
"839",2012,7,720559,9850940
"840",2012,7,720633,9851664
"841",2012,7,720659,9851148
"842",2012,7,720678,9851500
"843",2012,7,720767,9852806
"844",2012,7,720804,9851364
"845",2012,7,720810,9851392
"846",2012,7,720822,9851374
"847",2012,7,720829,9851356
"848",2012,7,720830,9851362
"849",2012,7,720897,9851146
"850",2012,7,720918,9850876
"851",2012,7,720926,9850854
"852",2012,7,721209,9848004
"853",2012,7,721209,9848004
"854",2012,7,721109,9847720
"855",2012,7,721279,9848304
"856",2012,7,719751,9851136
"857",2012,7,724565,9845396
"858",2012,7,724582,9845396
"859",2012,7,721834,9847328
"860",2012,7,721834,9847328
"861",2012,7,721834,9847328
"862",2012,7,721422,9847500
"863",2012,7,721422,9847500
"864",2012,7,721924,9847696
"865",2012,7,721955,9847704
"866",2012,7,721985,9847020
"867",2012,7,722214,9847524
"868",2012,7,723764,9846984
"869",2012,7,724222,9846904
"870",2012,7,724444,9847476
"871",2012,7,723248,9847242
"872",2012,7,723522,9847278
"873",2012,7,723573,9847194
"874",2012,7,721267,9853656
"875",2012,7,727423,9844253
"876",2012,7,727426,9844242
"877",2012,7,727185,9841364
"878",2012,7,727223,9841326
"879",2012,7,725064,9844672
"880",2012,7,727202,9842261
"881",2012,7,727202,9842261
"882",2012,7,726683,9842156
"883",2012,7,726694,9842326
"884",2012,7,726706,9842338
"885",2012,7,726708,9842322
"886",2012,7,726810,9842190
"887",2012,7,726855,9842167
"888",2012,7,726874,9842512
"889",2012,7,726877,9842582
"890",2012,7,726897,9842042
"891",2012,7,726928,9842102
"892",2012,7,727105,9842368
"893",2012,7,727131,9842644
"894",2012,7,727145,9842350
"895",2012,7,727209,9842004
"896",2012,7,727316,9842042
"897",2012,7,727382,9841994
"898",2012,7,727479,9841898
"899",2012,7,727553,9842650
"900",2012,7,722922,9840442
"901",2012,7,727942,9840870
"902",2012,7,727944,9840680
"903",2012,7,728004,9840752
"904",2012,7,728111,9840742
"905",2012,7,728154,9840858
"906",2012,7,728156,9842768
"907",2012,7,728264,9840370
"908",2012,7,728296,9840782
"909",2012,7,728307,9840694
"910",2012,7,728448,9840838
"911",2012,7,728476,9840995
"912",2012,7,728488,9839970
"913",2012,7,727558,9840214
"914",2012,7,727470,9840386
"915",2012,7,727571,9840609
"916",2012,7,727716,9840316
"917",2012,7,727747,9840316
"918",2012,7,727808,9840372
"919",2012,7,727861,9841405
"920",2012,7,727861,9841405
"921",2012,7,727861,9841405
"922",2012,7,727547,9841796
"923",2012,7,727578,9841832
"924",2012,7,727622,9841631
"925",2012,7,727635,9841576
"926",2012,7,727644,9841558
